cycle_index,t_ms,pixel_width
-1,0.002,175
-1,18.331,175
-1,36.857,175
-1,55.870,175
-1,74.227,175
-1,92.424,183
-1,111.351,183
-1,129.227,183
-1,147.225,183
-1,166.265,183
-1,184.649,183
-1,203.755,183
-1,224.429,183
-1,242.835,183
-1,261.805,191
-1,279.668,191
-1,298.052,191
-1,316.528,191
-1,335.535,191
-1,354.160,191
-1,372.829,191
-1,392.029,191
-1,411.020,191
-1,428.411,199
-1,445.971,199
-1,464.053,199
-1,482.227,199
-1,500.651,199
-1,518.876,199
-1,537.110,199
-1,561.791,199
-1,579.959,208
-1,599.073,208
-1,618.278,208
-1,638.195,208
-1,657.238,208
-1,681.198,208
-1,699.870,208
-1,719.206,208
-1,738.336,208
-1,757.544,216
-1,776.424,216
-1,795.534,216
-1,813.999,216
-1,832.500,216
-1,851.716,216
-1,870.357,216
-1,890.426,216
-1,910.351,216
-1,928.949,224
-1,948.764,224
-1,968.001,224
-1,987.029,224
-1,1006.577,224
-1,1025.579,224
-1,1045.324,224
-1,1063.572,224
-1,1082.307,233
-1,1100.388,233
-1,1119.230,233
-1,1137.806,233
-1,1157.001,233
-1,1175.804,233
-1,1194.314,233
-1,1212.063,233
-1,1231.323,233
-1,1251.251,240
-1,1269.695,240
-1,1288.991,240
-1,1307.420,240
-1,1326.047,240
-1,1344.529,240
-1,1362.019,240
-1,1380.197,240
-1,1401.903,240
0,1420.384,0
0,1438.932,0
0,1457.217,0
0,1476.518,0
0,1495.293,0
0,1513.570,0
0,1531.589,0
0,1549.577,0
0,1568.778,0
0,1587.536,8
0,1606.407,8
0,1625.164,8
0,1643.703,8
0,1661.698,8
0,1679.523,8
0,1697.630,8
0,1716.312,8
0,1735.251,8
0,1754.211,17
0,1772.543,17
0,1791.247,17
0,1810.416,17
0,1829.881,17
0,1848.848,17
0,1868.335,17
0,1890.470,17
0,1909.076,17
0,1928.555,25
0,1947.715,25
0,1966.378,25
0,1986.478,25
0,2005.575,25
0,2022.501,25
0,2040.380,25
0,2057.507,25
0,2073.880,25
0,2092.908,33
0,2109.892,33
0,2126.949,33
0,2145.370,33
0,2163.595,33
0,2179.117,33
0,2197.474,33
0,2216.187,33
0,2232.477,33
0,2247.941,42
0,2265.305,42
0,2284.441,42
0,2303.136,42
0,2321.946,42
0,2340.805,42
0,2359.427,42
0,2378.930,42
0,2395.884,42
0,2411.004,50
0,2428.922,50
0,2447.233,50
0,2464.315,50
0,2479.975,50
0,2495.936,50
0,2515.702,50
0,2531.362,50
0,2549.095,50
0,2568.607,50
0,2587.726,58
0,2605.250,58
0,2625.327,58
0,2644.164,58
0,2662.276,58
0,2681.449,58
0,2700.157,58
0,2718.838,58
0,2737.876,58
0,2756.068,66
0,2775.027,66
0,2794.614,66
0,2812.900,66
0,2830.095,66
0,2846.800,66
0,2865.109,66
0,2883.665,66
0,2901.828,66
0,2920.852,75
0,2938.126,75
0,2953.984,75
0,2970.397,75
0,2986.139,75
0,3001.663,75
0,3016.863,75
0,3032.303,75
0,3047.778,75
0,3062.979,75
0,3078.196,83
0,3093.979,83
0,3109.367,83
0,3125.818,83
0,3142.496,83
0,3159.845,83
0,3176.085,83
0,3192.797,83
0,3209.537,83
0,3225.995,83
0,3242.905,91
0,3259.403,91
0,3276.649,91
0,3292.471,91
0,3309.180,91
0,3329.084,91
0,3344.200,91
0,3359.557,91
0,3376.327,91
0,3394.154,91
0,3410.999,100
0,3426.156,100
0,3442.354,100
0,3459.385,100
0,3475.503,100
0,3492.208,100
0,3508.130,100
0,3523.788,100
0,3539.946,100
0,3555.567,100
0,3572.166,100
0,3589.015,108
0,3605.574,108
0,3621.987,108
0,3637.698,108
0,3653.362,108
0,3668.767,108
0,3684.077,108
0,3699.758,108
0,3715.257,108
0,3730.491,108
0,3748.453,116
0,3764.268,116
0,3779.090,116
0,3800.487,116
0,3815.528,116
0,3830.926,116
0,3846.039,116
0,3860.900,116
0,3875.394,116
0,3890.933,116
0,3906.033,116
0,3921.208,125
0,3937.134,125
0,3953.374,125
0,3968.610,125
0,3983.904,125
0,3999.420,125
0,4014.557,125
0,4029.541,125
0,4044.028,125
0,4059.326,125
0,4076.474,133
0,4092.806,133
0,4109.434,133
0,4126.101,133
0,4142.122,133
0,4157.449,133
0,4172.619,133
0,4188.053,133
0,4203.652,133
0,4219.542,133
0,4235.461,133
0,4251.007,141
0,4267.194,141
0,4282.135,141
0,4297.939,141
0,4313.255,141
0,4328.085,141
0,4343.394,141
0,4358.832,141
0,4375.702,141
0,4392.314,141
0,4408.599,141
0,4424.515,150
0,4440.107,150
0,4456.581,150
0,4472.069,150
0,4487.555,150
0,4504.407,150
0,4519.849,150
0,4535.402,150
0,4550.304,150
0,4566.069,150
0,4581.050,158
0,4596.368,158
0,4611.751,158
0,4626.930,158
0,4642.229,158
0,4658.579,158
0,4673.993,158
0,4689.488,158
0,4706.243,158
0,4722.110,158
0,4737.300,158
0,4752.488,166
0,4767.372,166
0,4782.538,166
0,4797.681,166
0,4813.211,166
0,4828.471,166
0,4843.548,166
0,4858.915,166
0,4874.908,166
0,4890.753,166
0,4906.417,166
0,4922.194,175
0,4937.701,175
0,4953.630,175
0,4969.134,175
0,4985.032,175
0,5002.776,175
0,5019.336,175
0,5035.287,175
0,5050.635,175
0,5066.233,175
0,5082.004,183
0,5097.504,183
0,5113.054,183
0,5128.462,183
0,5142.985,183
0,5157.934,183
0,5173.222,183
0,5187.951,183
0,5202.715,183
0,5217.729,183
0,5233.258,183
0,5248.105,191
0,5262.520,191
0,5276.953,191
0,5291.685,191
0,5306.996,191
0,5323.042,191
0,5338.502,191
0,5354.834,191
0,5371.302,191
0,5386.140,191
0,5401.272,191
0,5417.073,199
0,5432.883,199
0,5447.840,199
0,5464.117,199
0,5480.203,199
0,5496.084,199
0,5511.588,199
0,5526.650,199
0,5542.415,199
0,5559.620,199
0,5576.033,208
0,5592.388,208
0,5607.827,208
0,5623.711,208
0,5640.629,208
0,5656.638,208
0,5672.723,208
0,5688.629,208
0,5705.203,208
0,5721.833,208
0,5737.920,208
0,5757.354,216
0,5773.534,216
0,5789.725,216
0,5805.362,216
0,5821.621,216
0,5838.350,216
0,5855.201,216
0,5871.844,216
0,5887.800,216
0,5904.576,216
0,5920.974,224
0,5937.093,224
0,5954.326,224
0,5970.116,224
0,5985.678,224
0,6002.058,224
0,6017.848,224
0,6033.525,224
0,6049.268,224
0,6064.587,224
0,6080.306,233
0,6095.479,233
0,6110.656,233
0,6125.680,233
0,6141.933,233
0,6157.319,233
0,6172.709,233
0,6188.543,233
0,6204.191,233
0,6221.772,233
0,6237.569,233
0,6253.918,240
0,6270.529,240
0,6286.539,240
0,6301.605,240
0,6317.008,240
0,6332.752,240
0,6348.701,240
0,6364.062,240
0,6378.601,240
0,6393.254,240
1,6408.176,0
1,6424.018,0
1,6438.479,0
1,6454.290,0
1,6469.774,0
1,6485.036,0
1,6499.358,0
1,6514.605,0
1,6529.380,0
1,6544.574,0
1,6559.214,0
1,6577.941,8
1,6593.431,8
1,6608.252,8
1,6624.372,8
1,6640.089,8
1,6655.522,8
1,6670.693,8
1,6685.931,8
1,6701.298,8
1,6716.455,8
1,6731.519,8
1,6747.466,17
1,6763.153,17
1,6777.526,17
1,6792.424,17
1,6808.332,17
1,6823.565,17
1,6839.003,17
1,6854.177,17
1,6869.589,17
1,6886.208,17
1,6901.613,17
