cycle_index,t_ms,pixel_width
-1,0.001,71
-1,6.981,71
-1,14.086,71
-1,21.160,71
-1,31.739,71
-1,38.898,71
-1,45.335,71
-1,52.828,71
-1,59.491,71
-1,66.209,71
-1,73.309,71
-1,80.166,71
-1,87.189,71
-1,93.864,71
-1,100.500,73
-1,107.435,73
-1,113.892,73
-1,120.930,73
-1,127.556,73
-1,134.456,73
-1,141.450,73
-1,147.895,73
-1,154.756,73
-1,160.338,73
-1,166.651,73
-1,173.716,73
-1,180.764,73
-1,188.913,73
-1,195.761,73
-1,202.955,73
-1,211.659,73
-1,218.420,73
-1,225.167,73
-1,231.648,73
-1,238.780,73
-1,245.327,73
-1,252.018,73
-1,259.155,73
-1,265.905,75
-1,273.233,75
-1,280.152,75
-1,286.918,75
-1,293.641,75
-1,300.598,75
-1,308.103,75
-1,314.712,75
-1,321.967,75
-1,328.924,75
-1,336.008,75
-1,342.685,75
-1,351.613,75
-1,358.808,75
-1,365.675,75
-1,373.022,75
-1,379.873,75
-1,387.176,75
-1,394.036,75
-1,400.697,75
-1,407.684,75
-1,414.067,75
-1,420.913,75
-1,427.986,75
-1,435.041,77
-1,442.126,77
-1,452.036,77
-1,459.184,77
-1,465.840,77
-1,472.887,77
-1,479.653,77
-1,486.245,77
-1,493.488,77
-1,500.342,77
-1,507.405,77
-1,513.882,77
-1,520.913,77
-1,527.528,77
-1,534.380,77
-1,541.597,77
-1,548.232,77
-1,555.426,77
-1,562.278,77
-1,569.547,77
-1,576.394,77
-1,583.148,77
-1,592.139,77
-1,598.916,79
-1,606.300,79
-1,613.683,79
-1,620.923,79
-1,627.662,79
-1,635.433,79
-1,642.509,79
-1,648.988,79
-1,655.999,79
-1,662.669,79
-1,672.489,79
-1,679.183,79
-1,686.202,79
-1,692.756,79
-1,699.495,79
-1,706.722,79
-1,713.476,79
-1,720.453,79
-1,727.156,79
-1,733.819,79
-1,740.605,79
-1,747.251,79
-1,754.049,79
-1,760.846,79
-1,767.441,81
-1,774.341,81
-1,780.892,81
-1,788.038,81
-1,794.737,81
-1,802.172,81
-1,811.819,81
-1,818.891,81
-1,825.561,81
-1,831.980,81
-1,838.723,81
-1,845.437,81
-1,852.536,81
-1,859.101,81
-1,865.819,81
-1,872.827,81
-1,879.296,81
-1,886.042,81
-1,892.611,81
-1,899.134,81
-1,905.691,81
-1,912.740,81
-1,920.570,81
-1,927.232,81
-1,933.988,81
-1,940.905,81
-1,948.177,81
-1,955.684,81
-1,962.485,81
-1,969.156,83
-1,975.981,83
-1,982.705,83
-1,990.092,83
-1,996.918,83
-1,1004.110,83
-1,1011.813,83
-1,1019.017,83
-1,1025.970,83
-1,1032.711,83
-1,1039.875,83
-1,1045.862,83
-1,1052.985,83
-1,1060.847,83
-1,1067.925,83
-1,1075.079,83
-1,1081.734,83
-1,1088.934,83
-1,1094.459,83
-1,1101.429,85
-1,1108.602,85
-1,1115.304,85
-1,1122.342,85
-1,1129.099,85
-1,1136.668,85
-1,1143.629,85
-1,1150.494,85
-1,1157.680,85
-1,1164.406,85
-1,1171.865,85
-1,1178.589,85
-1,1186.556,85
-1,1193.662,85
-1,1200.680,85
-1,1208.053,85
-1,1215.149,85
-1,1223.588,85
-1,1231.116,85
-1,1238.368,85
-1,1245.335,85
-1,1252.243,85
-1,1259.271,85
-1,1266.015,87
-1,1273.360,87
-1,1279.959,87
-1,1286.853,87
-1,1293.314,87
-1,1300.306,87
-1,1307.654,87
-1,1314.407,87
-1,1321.392,87
-1,1328.114,87
-1,1334.798,87
-1,1341.939,87
-1,1352.226,87
-1,1359.198,87
-1,1366.282,87
-1,1373.703,87
-1,1380.548,87
-1,1387.531,87
-1,1394.252,87
-1,1401.299,87
-1,1408.361,87
-1,1415.048,87
-1,1422.237,87
-1,1432.901,87
-1,1439.755,90
-1,1446.296,90
-1,1453.321,90
-1,1459.958,90
-1,1466.551,90
-1,1473.703,90
-1,1480.370,90
-1,1487.194,90
-1,1493.499,90
-1,1500.080,90
-1,1507.038,90
-1,1513.476,90
-1,1520.388,90
-1,1527.488,90
-1,1534.098,90
-1,1541.076,90
-1,1547.579,90
-1,1554.691,90
-1,1561.289,90
-1,1567.959,90
-1,1574.940,90
-1,1581.598,90
-1,1588.712,90
-1,1595.180,90
-1,1601.960,92
-1,1612.019,92
-1,1619.045,92
-1,1625.826,92
-1,1633.032,92
-1,1639.995,92
-1,1646.596,92
-1,1653.592,92
-1,1660.086,92
-1,1666.626,92
-1,1673.396,92
-1,1679.916,92
-1,1686.980,92
-1,1693.261,92
-1,1699.959,92
-1,1707.066,92
-1,1713.674,92
-1,1720.644,92
-1,1727.030,92
-1,1733.604,92
-1,1740.565,92
-1,1747.016,92
-1,1753.914,92
-1,1760.460,92
-1,1767.247,94
-1,1774.161,94
-1,1780.840,94
-1,1787.914,94
-1,1794.382,94
-1,1801.243,94
-1,1809.059,94
-1,1816.060,94
-1,1823.205,94
-1,1830.391,94
-1,1837.371,94
-1,1843.963,94
-1,1850.656,94
-1,1857.639,94
-1,1864.059,94
-1,1871.383,94
-1,1877.916,94
-1,1884.786,94
-1,1892.261,94
-1,1898.725,94
-1,1906.183,94
-1,1912.926,94
-1,1920.785,94
-1,1927.541,94
-1,1933.985,96
-1,1941.019,96
-1,1947.217,96
-1,1954.315,96
-1,1960.768,96
-1,1967.132,96
-1,1973.807,96
-1,1980.240,96
-1,1987.495,96
-1,1996.158,96
-1,2002.922,96
-1,2011.879,96
-1,2019.381,96
-1,2026.118,96
-1,2032.657,96
-1,2040.068,96
-1,2046.794,96
-1,2053.759,96
-1,2060.115,96
-1,2066.719,96
-1,2073.688,96
-1,2080.097,96
-1,2086.904,96
-1,2093.424,96
-1,2099.976,98
-1,2106.922,98
-1,2113.771,98
-1,2120.835,98
-1,2127.067,98
-1,2134.070,98
-1,2141.024,98
-1,2147.327,98
-1,2154.289,98
-1,2160.915,98
-1,2167.648,98
-1,2174.450,98
-1,2180.877,98
-1,2189.297,98
-1,2196.085,98
-1,2202.496,98
-1,2209.307,98
-1,2215.971,98
-1,2223.236,98
-1,2231.603,98
-1,2238.558,98
-1,2245.474,98
-1,2251.976,98
-1,2259.113,98
-1,2265.880,100
-1,2272.879,100
-1,2279.605,100
-1,2286.152,100
-1,2292.838,100
-1,2299.074,100
-1,2306.330,100
-1,2313.025,100
-1,2319.898,100
-1,2327.291,100
-1,2333.961,100
-1,2340.822,100
-1,2347.237,100
-1,2354.664,100
-1,2361.466,100
-1,2368.165,100
-1,2375.147,100
-1,2381.758,100
-1,2388.986,100
-1,2395.555,100
-1,2402.263,100
-1,2412.034,100
-1,2418.925,100
-1,2426.084,100
-1,2433.766,102
-1,2441.675,102
-1,2448.096,102
-1,2455.163,102
-1,2461.677,102
-1,2468.431,102
-1,2475.609,102
-1,2482.218,102
-1,2489.461,102
-1,2495.857,102
-1,2502.278,102
-1,2512.315,102
-1,2519.166,102
-1,2526.411,102
-1,2532.878,102
-1,2540.081,102
-1,2546.565,102
-1,2553.209,102
-1,2560.195,102
-1,2566.762,102
-1,2573.843,102
-1,2580.210,102
-1,2586.861,102
-1,2593.655,102
-1,2600.104,104
-1,2607.055,104
-1,2613.595,104
-1,2620.685,104
-1,2627.226,104
-1,2633.779,104
-1,2640.847,104
-1,2647.299,104
-1,2654.697,104
