cycle_index,t_ms,pixel_width
-1,0.002,11
-1,4.332,11
-1,8.183,11
-1,11.914,11
-1,15.239,11
-1,18.547,11
-1,21.796,11
-1,24.837,11
-1,27.844,11
-1,31.523,11
-1,34.833,11
-1,38.059,11
-1,42.281,11
-1,46.118,11
-1,49.380,11
-1,52.367,11
-1,55.596,11
-1,58.946,11
-1,62.170,11
-1,65.705,11
-1,68.851,11
-1,72.125,11
-1,75.201,11
-1,78.305,11
-1,81.841,11
-1,85.112,11
-1,88.276,11
-1,91.599,11
-1,94.636,13
-1,98.361,13
-1,101.736,13
-1,104.907,13
-1,108.183,13
-1,111.484,13
-1,114.808,13
-1,118.053,13
-1,121.157,13
-1,124.196,13
-1,127.336,13
-1,130.915,13
-1,134.048,13
-1,137.098,13
-1,140.338,13
-1,143.273,13
-1,146.682,13
-1,149.774,13
-1,152.876,13
-1,156.236,13
-1,159.551,13
-1,163.324,13
-1,166.814,13
-1,170.139,13
-1,173.242,13
-1,176.367,13
-1,179.718,13
-1,182.848,13
-1,185.971,13
-1,188.932,13
-1,191.969,13
-1,195.641,13
-1,199.243,13
-1,202.217,13
-1,205.375,13
-1,208.763,13
-1,211.762,13
-1,215.365,13
-1,218.518,13
-1,221.728,13
-1,224.645,13
-1,227.726,13
-1,231.157,13
-1,234.259,13
-1,237.395,13
-1,240.705,13
-1,243.571,13
-1,246.912,13
-1,249.940,13
-1,253.025,13
-1,256.096,13
-1,259.108,13
-1,262.041,15
-1,265.402,15
-1,268.512,15
-1,271.633,15
-1,274.792,15
-1,277.893,15
-1,281.276,15
-1,284.455,15
-1,287.436,15
-1,290.643,15
-1,293.532,15
-1,296.956,15
-1,300.015,15
-1,303.674,15
-1,306.864,15
-1,309.959,15
-1,313.864,15
-1,317.130,15
-1,320.532,15
-1,323.532,15
-1,326.482,15
-1,329.752,15
-1,333.103,15
-1,336.165,15
-1,339.047,15
-1,341.981,15
-1,344.905,15
-1,348.163,15
-1,351.304,15
-1,354.377,15
-1,357.409,15
-1,360.431,15
-1,363.834,15
-1,367.015,15
-1,370.136,15
-1,373.197,15
-1,376.368,15
-1,379.613,15
-1,382.762,15
-1,386.018,15
-1,389.148,15
-1,392.382,15
-1,395.325,15
-1,398.848,15
-1,402.041,15
-1,405.084,15
-1,408.061,15
-1,411.015,15
-1,414.304,15
-1,417.575,15
-1,420.675,15
-1,423.827,15
-1,426.785,17
-1,430.118,17
-1,433.178,17
-1,436.047,17
-1,439.028,17
-1,442.064,17
-1,445.144,17
-1,448.416,17
-1,451.731,17
-1,454.768,17
-1,457.806,17
-1,461.049,17
-1,464.629,17
-1,467.783,17
-1,471.064,17
-1,474.129,17
-1,477.207,17
-1,480.589,17
-1,483.663,17
-1,486.690,17
-1,489.988,17
-1,493.211,17
-1,496.685,17
-1,499.844,17
-1,503.261,17
-1,506.504,17
-1,509.911,17
-1,513.387,17
-1,516.600,17
-1,519.604,17
-1,522.727,17
-1,525.670,17
-1,528.518,17
-1,531.823,17
-1,534.815,17
-1,537.930,17
-1,540.981,17
-1,543.891,17
-1,547.207,17
-1,550.483,17
-1,553.516,17
-1,556.468,17
-1,559.708,17
-1,563.026,17
-1,566.088,17
-1,569.371,17
-1,572.471,17
-1,575.363,17
-1,578.286,17
-1,581.896,17
-1,585.061,17
-1,588.044,17
-1,591.154,17
-1,594.062,19
-1,597.508,19
-1,600.677,19
-1,603.762,19
-1,607.392,19
-1,610.315,19
-1,613.706,19
-1,616.912,19
-1,620.074,19
-1,623.206,19
-1,626.678,19
-1,630.001,19
-1,633.222,19
-1,636.637,19
-1,639.854,19
-1,643.136,19
-1,646.403,19
-1,649.615,19
-1,652.761,19
-1,655.827,19
-1,658.900,19
-1,661.882,19
-1,665.395,19
-1,668.492,19
-1,671.820,19
-1,674.829,19
-1,677.846,19
-1,681.288,19
-1,684.448,19
-1,687.519,19
-1,690.697,19
-1,693.682,19
-1,697.041,19
-1,699.991,19
-1,703.200,19
-1,706.259,19
-1,709.282,19
-1,713.082,19
-1,716.244,19
-1,719.394,19
-1,722.450,19
-1,725.431,19
-1,728.450,19
-1,732.088,19
-1,735.356,19
-1,738.597,19
-1,741.982,19
-1,745.158,19
-1,749.166,19
-1,752.581,19
-1,755.839,19
-1,759.051,19
-1,762.190,21
-1,765.811,21
-1,768.990,21
-1,772.208,21
-1,775.525,21
-1,778.891,21
-1,782.544,21
-1,786.147,21
-1,789.485,21
-1,792.933,21
-1,796.085,21
-1,799.850,21
-1,803.227,21
-1,807.008,21
-1,810.414,21
-1,814.226,21
-1,817.668,21
-1,821.085,21
-1,824.375,21
-1,827.381,21
-1,830.881,21
-1,834.016,21
-1,837.413,21
-1,840.636,21
-1,843.613,21
-1,847.415,21
-1,850.777,21
-1,853.962,21
-1,857.039,21
-1,860.243,21
-1,863.597,21
-1,866.680,21
-1,869.806,21
-1,872.822,21
-1,875.927,21
-1,878.912,21
-1,882.145,21
-1,885.243,21
-1,888.333,21
-1,891.449,21
-1,894.424,21
-1,897.387,21
-1,900.584,21
-1,903.582,21
-1,906.579,21
-1,910.462,21
-1,913.989,21
-1,917.100,21
-1,920.316,21
-1,923.342,21
-1,926.708,23
-1,930.028,23
-1,933.061,23
-1,936.398,23
-1,939.499,23
-1,942.550,23
-1,945.625,23
-1,948.987,23
-1,952.275,23
-1,955.431,23
-1,958.378,23
-1,961.301,23
-1,964.679,23
-1,967.824,23
-1,970.994,23
-1,973.992,23
-1,977.099,23
-1,980.583,23
-1,983.638,23
-1,986.671,23
-1,989.737,23
-1,992.739,23
-1,996.678,23
-1,999.877,23
-1,1002.938,23
-1,1005.969,23
-1,1008.971,23
-1,1012.106,23
-1,1015.503,23
-1,1018.672,23
-1,1021.772,23
-1,1024.755,23
-1,1027.883,23
-1,1031.065,23
-1,1034.285,23
-1,1037.406,23
-1,1040.628,23
-1,1043.618,23
-1,1046.983,23
-1,1050.301,23
-1,1053.404,23
-1,1056.388,23
-1,1059.355,23
-1,1062.992,23
-1,1066.442,23
-1,1069.806,23
-1,1072.836,23
-1,1076.000,23
-1,1079.519,23
-1,1082.570,23
-1,1085.496,23
-1,1088.407,23
-1,1091.493,23
-1,1094.709,25
-1,1098.176,25
-1,1101.328,25
-1,1104.391,25
-1,1107.480,25
-1,1110.533,25
-1,1113.716,25
-1,1116.764,25
-1,1120.174,25
-1,1123.295,25
-1,1126.613,25
-1,1130.044,25
-1,1133.075,25
-1,1136.177,25
-1,1139.130,25
-1,1142.055,25
-1,1145.047,25
-1,1148.738,25
-1,1151.898,25
-1,1154.949,25
-1,1157.957,25
-1,1160.900,25
-1,1164.222,25
-1,1167.416,25
-1,1170.545,25
-1,1173.635,25
-1,1176.570,25
-1,1180.178,25
-1,1183.268,25
-1,1186.356,25
-1,1189.524,25
-1,1192.509,25
-1,1195.389,25
-1,1198.592,25
-1,1201.760,25
-1,1204.791,25
-1,1208.011,25
-1,1212.139,25
-1,1215.692,25
-1,1218.805,25
-1,1221.813,25
-1,1224.743,25
-1,1227.707,25
-1,1230.904,25
-1,1233.974,25
-1,1237.108,25
-1,1240.192,25
-1,1243.585,25
-1,1246.894,25
-1,1250.288,25
-1,1253.361,25
-1,1256.408,25
-1,1259.467,25
-1,1262.390,27
-1,1265.638,27
-1,1268.651,27
-1,1271.816,27
-1,1274.874,27
-1,1277.776,27
-1,1281.075,27
-1,1284.180,27
-1,1287.378,27
-1,1290.601,27
-1,1293.462,27
-1,1296.772,27
-1,1299.800,27
-1,1302.847,27
-1,1305.789,27
-1,1308.626,27
